実行日時: 2023-12-06 17:51:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検索条件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計単位: 商品別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計期間: 全期間で集計 2023-12-05 - 2023-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コントロールカラム,日付,商品ページURL,商品管理番号,入札単価,CTR(%),商品CPC,クリック数(合計),実績額(合計),CPC実績(合計),クリック数(新規),実績額(新規),CPC実績(新規),クリック数(既存),実績額(既存),CPC実績(既存),売上金額(合計12時間),売上件数(合計12時間),CVR(合計12時間)(%),ROAS(合計12時間)(%),注文獲得単価(合計12時間),売上金額(合計720時間),売上件数(合計720時間),CVR(合計720時間)(%),ROAS(合計720時間)(%),注文獲得単価(合計720時間),売上金額(新規12時間),売上件数(新規12時間),CVR(新規12時間)(%),ROAS(新規12時間)(%),注文獲得単価(新規12時間),売上金額(新規720時間),売上件数(新規720時間),CVR(新規720時間)(%),ROAS(新規720時間)(%),注文獲得単価(新規720時間),売上金額(既存12時間),売上件数(既存12時間),CVR(既存12時間)(%),ROAS(既存12時間)(%),注文獲得単価(既存12時間),売上金額(既存720時間),売上件数(既存720時間),CVR(既存720時間)(%),ROAS(既存720時間)(%),注文獲得単価(既存720時間)
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ulwsp2p/,ulwsp2p,15,0.05,,12,180,15,5,75,15,7,105,15,11400,1,8.33,6333.33,180,11400,1,8.33,6333.33,180,0,0,0,0,0,0,0,0,0,0,11400,1,14.28,10857.14,105,11400,1,14.28,10857.14,105
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ulwp450-2p/,ulwp450-2p,30,0.3,,134,4020,30,86,2580,30,48,1440,30,121790,18,13.43,3029.6,224,127530,19,14.17,3172.38,212,63140,11,12.79,2447.28,235,68880,12,13.95,2669.76,215,58650,7,14.58,4072.91,206,58650,7,14.58,4072.91,206
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ulwp450/,ulwp450,40,0.23,,250,10000,40,185,7400,40,65,2600,40,157360,25,10,1573.6,400,157360,25,10,1573.6,400,59100,11,5.94,798.64,673,59100,11,5.94,798.64,673,98260,14,21.53,3779.23,186,98260,14,21.53,3779.23,186
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ulsp0002/,ulsp0002,30,0.12,,222,6660,30,160,4800,30,62,1860,30,170400,25,11.26,2558.55,267,176140,26,11.71,2644.74,257,68880,9,5.62,1435,534,68880,9,5.62,1435,534,101520,16,25.8,5458.06,117,107260,17,27.41,5766.66,110
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ulsp0001/,ulsp0001,15,0.14,,20,1050,53,17,1005,60,3,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ulsoy0002/,ulsoy0002,15,0.02,,32,540,17,23,405,18,9,135,15,17360,4,12.5,3214.81,135,28730,5,15.62,5320.37,108,3790,1,4.34,935.8,405,3790,1,4.34,935.8,405,13570,3,33.33,10051.85,45,24940,4,44.44,18474.07,34
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ul0001/,ul0001,40,0.12,,2308,92320,40,2031,81240,40,277,11080,40,888970,106,4.59,962.92,871,934890,111,4.8,1012.66,832,312250,34,1.67,384.35,2390,317990,35,1.72,391.42,2322,576720,72,25.99,5205.05,154,616900,76,27.43,5567.68,146
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ul-tt01/,ul-tt01,15,0.07,,2,30,15,1,15,15,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ul-sb01/,ul-sb01,15,0.27,,5,75,15,4,60,15,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月05日～2023年12月05日,https://item.rakuten.co.jp/ultora/ul-3p/,ul-3p,15,0.01,,2,30,15,1,15,15,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
