ショップ名,注文番号,在庫ID,商品名,単価,数量,合計金額,税率,送料,手数料,出荷確定日,自由項目1,取込フォーマット名（APIカート内ショップ名）,自由項目2
RSL（Leo）,ultora-official-10018459,1100273,"ウルトラ ホエイダイエットプロテイン ココナッツチョコレート風味 1,000g",5740,2,11180,0.08,0,0,"",2023/10/11,"311041,ウルトラRSLテナント用",【Yahoo!】ULTORA
RSL（Leo）,393415-20230930-0559310291,1100285,ウルトラ スローダイエットプロテイン カフェラテ風味,5740,1,5007,0.08,0,0,"",2023/10/12,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231002-0278810689,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",5740,1,11480,0.08,0,0,"",2023/10/11,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231002-0278810689,1100274,"ウルトラ ホエイダイエットプロテイン フルーツオレ風味 1,000g",5740,1,0,0.08,0,0,"",2023/10/11,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231002-0354910686,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,5740,1,5000,0.08,0,0,"",2023/10/11,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231005-0662411542,1101397,ウルトラ ホエイダイエットプロテイン 450g キャラメルナッツ風味,3490,1,3490,0.08,0,0,"",2023/10/13,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231005-0764411353,1100272,"ウルトラ ホエイダイエットプロテイン クリアストロベリー風味 1,000g",5740,1,5200,0.08,0,0,"",2023/10/13,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231005-0995511396,1100275,"ウルトラ ホエイダイエットプロテイン ほうじ茶ラテ風味 1,000g",5740,1,10480,0.08,0,0,"",2023/10/13,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231005-0995511396,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,5740,1,0,0.08,0,0,"",2023/10/13,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231006-0358511715,1100275,"ウルトラ ホエイダイエットプロテイン ほうじ茶ラテ風味 1,000g",5740,1,5700,0.08,0,0,"",2023/10/11,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231006-0563611744,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",5740,1,6020,0.08,0,280,"",2023/10/15,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231006-0699711827,1100302,ウルトラ シェイカー 500ml（ブラック）,750,2,1000,0.1,0,0,"",2023/10/11,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231008-0452412095,1201801,【セット】ホエイ450_2個(チョコレート＆キャラメルナッツ),5990,1,5990,0.08,0,0,"",2023/10/11,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231008-0482212063,1100270,"ウルトラ ホエイダイエットプロテイン チョコレート風味 1,000g",5740,1,5200,0.08,0,0,"",2023/10/11,"311041,ウルトラRSLテナント用",【楽天】ULTORA
RSL（Leo）,393415-20231008-0555112024,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,5740,1,5440,0.08,0,0,"",2023/10/13,"311041,ウルトラRSLテナント用",【楽天】ULTORA
