ショップ名,注文番号,在庫ID,商品名,単価,数量,合計金額,税率,送料,手数料,出荷確定日,自由項目1,取込フォーマット名（APIカート内ショップ名）,自由項目2
ULTORA（ウルトラ）,008bd0a3fb,1100302,ウルトラ シェイカー 500ml（ブラック）,650,1,1250,0.1,600,0,2023/12/12,"","312001,ウルトラ[API]ECF",
ULTORA（ウルトラ）,03c3af4d0b,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",5040,1,5040,0.08,0,0,2023/12/12,"","312001,ウルトラ[API]ECF",""
ULTORA（ウルトラ）,0973d7bb4b,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",5040,1,9530,0.08,0,0,2023/12/12,"","312001,ウルトラ[API]ECF",
ULTORA（ウルトラ）,0973d7bb4b,1100286,ウルトラ スローダイエットプロテイン ブルーベリー風味　1000ｇ,4790,1,0,0.08,0,0,2023/12/12,"","312001,ウルトラ[API]ECF",
ULTORA（ウルトラ）,1005929128,1201771,※ダミー※【2点セット】 ホエイダイエットプロテイン＆スローダイエットプロテイン 1000g    ,9480,1,9780,0.08,600,0,2023/12/12,"","312001,ウルトラ[API]ECF",""
ULTORA（ウルトラ）,1005929128,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,0,1,0,0.08,0,0,2023/12/12,"","312001,ウルトラ[API]ECF",""
ULTORA（ウルトラ）,1005929128,1100272,"ウルトラ ホエイダイエットプロテイン クリアストロベリー風味 1,000g",0,1,0,0.08,0,0,2023/12/12,"","312001,ウルトラ[API]ECF",""
ULTORA（ウルトラ）,132519fd56,1100284,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味　1000ｇ,4890,1,10380,0.08,600,0,2023/12/12,"","312001,ウルトラ[API]ECF",
ULTORA（ウルトラ）,132519fd56,1101403,ウルトラ スローダイエットプロテイン 1000g あずきミルク風味,4890,1,0,0.08,0,0,2023/12/12,"","312001,ウルトラ[API]ECF",
ULTORA（ウルトラ）,1be8a63228,1100276,"ウルトラ ホエイダイエットプロテイン 紫芋風味 1,000g",5115,1,5715,0.08,600,0,2023/12/12,"","312001,ウルトラ[API]ECF",
ULTORA（ウルトラ）,1cb695fe84,1100285,ウルトラ スローダイエットプロテイン カフェラテ風味,4790,1,9935,0.08,0,105,2023/12/12,"","312001,ウルトラ[API]ECF",
ULTORA（ウルトラ）,1cb695fe84,1100272,"ウルトラ ホエイダイエットプロテイン クリアストロベリー風味 1,000g",5040,1,0,0.08,0,0,2023/12/12,"","312001,ウルトラ[API]ECF",
ULTORA（ウルトラ）,2023121201,1100270,"ウルトラ ホエイダイエットプロテイン チョコレート風味 1,000g",0,10,0,0.08,0,0,2023/12/12,"","311030,ウルトラ個別出荷",
ULTORA（ウルトラ）,2023121202,1100270,"ウルトラ ホエイダイエットプロテイン チョコレート風味 1,000g",0,10,0,0.08,0,0,2023/12/12,"","311030,ウルトラ個別出荷",
ULTORA（ウルトラ）,2023121203,1100271,"ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 1,000g",0,10,0,0.08,0,0,2023/12/12,"","311030,ウルトラ個別出荷",
ULTORA（ウルトラ）,2023121204,1100272,"ウルトラ ホエイダイエットプロテイン クリアストロベリー風味 1,000g",0,10,0,0.08,0,0,2023/12/12,"","311030,ウルトラ個別出荷",
